season,week,date,away_team,home_team,home_score,away_score,home_line_open,home_line_close,home_ml_open,home_ml_close,away_ml_open,away_ml_close,total_open,total_close
2024,11,2024-11-17,SEA,SF,17,20,-7.0,-6.0,1.294,1.3839999999999999,3.7,3.1,49,49
2024,11,2024-11-17,KC,BUF,30,21,1.0,-2.5,2,1.6659999999999999,1.833,2.25,46.5,47
2024,11,2024-11-17,GB,CHI,19,20,2.5,6.0,2.25,3.2,1.6659999999999999,1.37,44.5,41
2024,11,2024-11-17,JAX,DET,52,6,-10.0,-13.5,1.2,1.111,4.75,7,50.5,47.5
2024,11,2024-11-17,LV,MIA,34,19,-7.0,-7.5,1.27,1.2350000000000001,3.9,4.25,45,43.5
2024,11,2024-11-17,LA,NE,22,28,6.0,4.0,3.1,2.75,1.3839999999999999,1.476,44,43
2024,11,2024-11-17,CLE,NO,35,14,-1.5,1.0,1.8,1.952,2.0499999999999998,1.869,42,44
2024,11,2024-11-17,IND,NYJ,27,28,-4.0,-4.0,1.4870000000000001,1.476,2.7,2.75,43.5,43
2024,11,2024-11-17,BAL,PIT,18,16,3.5,3.0,2.5,2.5499999999999998,1.5549999999999999,1.54,45,48
2024,11,2024-11-17,MIN,TEN,13,23,6.0,6.0,3.1,3.2,1.3839999999999999,1.37,41.5,40
2024,11,2024-11-18,HOU,DAL,10,34,6.0,7.0,3.2,3.9,1.37,1.27,43.5,41.5
2024,12,2024-11-21,PIT,CLE,24,19,4.0,3.5,2.6,2.65,1.526,1.5,41.5,36.5
2024,12,2024-11-24,PHI,LA,20,37,2.5,3.0,2.25,2.4,1.6659999999999999,1.6060000000000001,47.5,48.5
2024,12,2024-11-24,SF,GB,38,10,-1.5,-6.0,1.833,1.357,2,3.3,48,44.5
2024,12,2024-11-24,ARI,SEA,16,6,-1.0,1.0,1.869,2,1.952,1.833,48.5,46.5
2024,12,2024-11-24,DEN,LV,19,29,3.0,5.5,2.2999999999999998,3.1,1.645,1.3839999999999999,40.5,41.5
2024,12,2024-11-24,KC,CAR,27,30,11.5,10.5,6.25,5.75,1.133,1.153,41,43
2024,12,2024-11-24,MIN,CHI,27,30,5.0,3.0,2.85,2.4,1.444,1.6060000000000001,40.5,39.5
2024,12,2024-11-24,TEN,HOU,27,32,-8.0,-8.0,1.2350000000000001,1.2350000000000001,4.25,4.25,42.5,40.5
2024,12,2024-11-24,DET,IND,6,24,6.5,7.0,3.6,3.75,1.3120000000000001,1.2849999999999999,49,50.5
2024,12,2024-11-24,NE,MIA,34,15,-6.5,-7.5,1.3120000000000001,1.2629999999999999,3.6,4,44.5,45.5
